,period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share,State,City,Property_Type
71,2020-04-30,0.89410511,35.27737933,14.29473792,204154934.0,3.35373416,0.00356245,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,8.43,IN,Indianapolis,Mall
72,2020-05-31,0.89410511,35.27737933,14.29473792,204154934.0,3.35373416,-0.1623351,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,7.97,IN,Indianapolis,Mall
73,2020-06-30,0.89410511,35.27737933,14.29473792,204154934.0,3.35373416,-0.1623351,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,8.08,IN,Indianapolis,Mall
74,2020-07-31,0.89306938,35.27737933,14.29473792,204154934.0,3.35373416,-0.16233516,43.0,42.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,7.81,IN,Indianapolis,Mall
75,2020-08-31,0.89306938,35.44715476,14.29473792,204154934.0,3.35373416,-0.16349192,39.0,43.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,9.81,IN,Indianapolis,Mall
76,2020-09-30,0.89306938,35.44715476,14.29473792,204154934.0,3.35373416,-0.18112555,39.0,43.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,8.69,IN,Indianapolis,Mall
77,2020-10-31,0.89306938,35.44715476,14.29473792,204154934.0,3.35373416,-0.18112555,39.0,43.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,11.14,IN,Indianapolis,Mall
78,2020-11-30,0.89306938,35.44715476,14.29473792,204154934.0,3.35373416,-0.18112555,39.0,43.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,10.37,IN,Indianapolis,Mall
79,2020-12-31,0.89306938,35.44715476,14.29473792,204154934.0,3.35373416,-0.18112555,39.0,43.0,115.61,1.03,2.58,64525.76,14.01,85.74,0.23,63.59,56864.3,146546.87,33.5,4.44,0.7,0.73,62.21,0.91,-1.76,123.33,10.12,IN,Indianapolis,Mall
80,2021-01-31,0.894,35.44715476,14.29473792,204154934.0,3.35373416,-0.1589738,39.0,43.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,10.99,IN,Indianapolis,Mall
81,2021-02-28,0.87823628,35.44715476,14.29473792,204154934.0,3.35373416,-0.13093679,32.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,12.28,IN,Indianapolis,Mall
82,2021-03-31,0.87823628,35.44715476,14.29473792,204154934.0,3.35373416,-0.13093679,32.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,13.08,IN,Indianapolis,Mall
83,2021-04-30,0.88217072,35.44715476,14.29473792,204154934.0,3.35373416,-0.13627881,32.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,12.33,IN,Indianapolis,Mall
84,2021-05-31,0.88217072,35.44715476,14.29473792,204154934.0,3.35373416,-0.13627881,32.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,11.66,IN,Indianapolis,Mall
85,2021-06-30,0.88217072,35.44715476,14.29473792,204154934.0,3.35373416,-0.13627881,32.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,11.79,IN,Indianapolis,Mall
86,2021-07-31,0.88202447,35.44715476,14.29473792,204154934.0,3.35373416,0.11738662,32.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,11.65,IN,Indianapolis,Mall
87,2021-08-31,0.88202447,35.44715476,14.29473792,204154934.0,3.35373416,0.13533284,32.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,16.13,IN,Indianapolis,Mall
88,2021-09-30,0.88202447,35.44715476,14.29473792,204154934.0,3.35373416,0.13533284,32.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,13.1,IN,Indianapolis,Mall
89,2021-10-31,0.88181713,35.44715476,14.29473792,204154934.0,3.35373416,0.28867408,32.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,13.42,IN,Indianapolis,Mall
90,2021-11-30,0.88181713,35.44715476,14.29473792,204154934.0,3.35373416,0.28867408,32.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,13.95,IN,Indianapolis,Mall
91,2021-12-31,0.88181713,35.44715476,14.29473792,204154934.0,3.35373416,0.28867408,32.0,30.0,120.89,4.56,2.52,70224.0,13.89,85.86,0.23,63.69,59720.33,148830.85,33.67,4.52,0.43,0.46,62.43,0.61,5.67,-47.76,11.11,IN,Indianapolis,Mall
